37.234375,
37.150390625,
37.0078125,
36.736328125,
36.423828125,
36.09375,
35.740234375,
35.396484375,
35.048828125,
34.69921875,
34.375,
34.04296875,
33.728515625,
33.408203125,
33.099609375,
32.8046875,
32.5078125,
32.224609375,
31.962890625,
31.689453125,
31.4375,
31.171875,
30.919921875,
30.666015625,
30.435546875,
30.1875,
29.958984375,
29.734375,
29.51953125,
29.298828125,
29.091796875,
28.880859375,
28.685546875,
28.48046875,
28.291015625,
28.103515625,
27.912109375,
27.732421875,
27.5625,
27.404296875,
27.240234375,
27.076171875,
26.98828125,
26.974609375,
27.0859375,
27.314453125,
27.6640625,
28.134765625,
28.701171875,
29.330078125,
29.96484375,
30.52734375,
31.046875,
31.470703125,
31.755859375,
31.94921875,
32.009765625,
31.986328125,
31.90625,
31.76171875,
31.5859375,
31.40234375,
31.23828125,
31.087890625,
30.9765625,
30.896484375,
30.861328125,
30.86328125,
30.91015625,
30.98046875,
31.087890625,
31.22265625,
31.33984375,
31.48828125,
31.6328125,
31.75390625,
31.849609375,
31.9140625,
31.951171875,
31.974609375,
31.947265625,
31.912109375,
31.87109375,
31.822265625,
31.791015625,
31.740234375,
31.720703125,
31.708984375,
31.712890625,
31.720703125,
31.74609375,
31.7890625,
31.810546875,
31.853515625,
31.896484375,
31.939453125,
31.98046875,
32.0234375,
32.0390625,
32.0546875,
32.056640625,
32.0703125,
32.0703125,
32.0703125,
32.06640625,
32.08203125,
32.078125,
32.08984375,
32.09765625,
32.103515625,
32.1015625,
32.103515625,
32.1171875,
32.12890625,
32.134765625,
32.14453125,
32.150390625,
32.171875,
32.189453125,
32.212890625,
32.2421875,
32.267578125,
32.287109375,
32.322265625,
32.349609375,
32.33984375,
32.3359375,
32.328125,
32.3125,
32.31640625,
32.333984375,
32.365234375,
32.400390625,
32.423828125,
32.458984375,
32.478515625,
32.49609375,
32.50390625,
32.517578125,
32.52734375,
32.537109375,
32.552734375,
32.5625,
32.54296875,
32.548828125,
32.544921875,
32.560546875,
32.583984375,
32.609375,
32.63671875,
32.6640625,
32.681640625,
32.681640625,
32.693359375,
32.68359375,
32.669921875,
32.64453125,
32.6484375,
32.669921875,
32.685546875,
32.720703125,
32.74609375,
32.779296875,
32.8125,
32.8359375,
32.845703125,
32.859375,
32.875,
32.892578125,
32.923828125,
32.92578125,
32.931640625,
32.94140625,
32.958984375,
32.962890625,
32.958984375,
32.95703125,
32.951171875,
32.955078125,
32.962890625,
32.970703125,
32.978515625,
33.009765625,
33.017578125,
33.03515625,
33.056640625,
33.078125,
33.09765625,
33.11328125,
33.130859375,
33.154296875,
33.150390625,
33.158203125,
33.15234375,
33.154296875,
33.15234375,
33.14453125,
33.142578125,
33.166015625,
33.1875,
33.20703125,
33.23046875,
33.263671875,
33.2890625,
33.33203125,
33.36328125,
33.39453125,
33.4375,
33.4609375,
33.48046875,
33.49609375,
33.48828125,
33.466796875,
33.443359375,
33.42578125,
33.3984375,
33.3671875,
33.33984375,
33.328125,
33.322265625,
33.34375,
33.365234375,
33.392578125,
33.4296875,
33.484375,
33.5390625,
33.58984375,
33.6328125,
33.662109375,
33.673828125,
33.6796875,
33.701171875,
33.7109375,
33.703125,
33.712890625,
33.71875,
33.73046875,
33.734375,
33.732421875,
33.73046875,
33.73828125,
33.75390625,
33.779296875,
